bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
39.1,18.7,181,3750
39.5,17.4,186,3800
40.3,18,195,3250
36.7,19.3,193,3450
39.3,20.6,190,3650
38.9,17.8,181,3625
39.2,19.6,195,4675
34.1,18.1,193,3475
42,20.2,190,4250
37.8,17.1,186,3300
37.8,17.3,180,3700
41.1,17.6,182,3200
38.6,21.2,191,3800
34.6,21.1,198,4400
36.6,17.8,185,3700
38.7,19,195,3450
42.5,20.7,197,4500
34.4,18.4,184,3325
46,21.5,194,4200
37.8,18.3,174,3400
37.7,18.7,180,3600
35.9,19.2,189,3800
38.2,18.1,185,3950
38.8,17.2,180,3800
35.3,18.9,187,3800
40.6,18.6,183,3550
40.5,17.9,187,3200
37.9,18.6,172,3150
40.5,18.9,180,3950
39.5,16.7,178,3250
37.2,18.1,178,3900
39.5,17.8,188,3300
40.9,18.9,184,3900
36.4,17,195,3325
39.2,21.1,196,4150
38.8,20,190,3950
42.2,18.5,180,3550
37.6,19.3,181,3300
39.8,19.1,184,4650
36.5,18,182,3150
40.8,18.4,195,3900
36,18.5,186,3100
44.1,19.7,196,4400
37,16.9,185,3000
39.6,18.8,190,4600
41.1,19,182,3425
37.5,18.9,179,2975
36,17.9,190,3450
42.3,21.2,191,4150
39.6,17.7,186,3500
40.1,18.9,188,4300
35,17.9,190,3450
42,19.5,200,4050
34.5,18.1,187,2900
41.4,18.6,191,3700
39,17.5,186,3550
40.6,18.8,193,3800
36.5,16.6,181,2850
37.6,19.1,194,3750
35.7,16.9,185,3150
41.3,21.1,195,4400
37.6,17,185,3600
41.1,18.2,192,4050
36.4,17.1,184,2850
41.6,18,192,3950
35.5,16.2,195,3350
41.1,19.1,188,4100
35.9,16.6,190,3050
41.8,19.4,198,4450
33.5,19,190,3600
39.7,18.4,190,3900
39.6,17.2,196,3550
45.8,18.9,197,4150
35.5,17.5,190,3700
42.8,18.5,195,4250
40.9,16.8,191,3700
37.2,19.4,184,3900
36.2,16.1,187,3550
42.1,19.1,195,4000
34.6,17.2,189,3200
42.9,17.6,196,4700
36.7,18.8,187,3800
35.1,19.4,193,4200
37.3,17.8,191,3350
41.3,20.3,194,3550
36.3,19.5,190,3800
36.9,18.6,189,3500
38.3,19.2,189,3950
38.9,18.8,190,3600
35.7,18,202,3550
41.1,18.1,205,4300
34,17.1,185,3400
39.6,18.1,186,4450
36.2,17.3,187,3300
40.8,18.9,208,4300
38.1,18.6,190,3700
40.3,18.5,196,4350
33.1,16.1,178,2900
43.2,18.5,192,4100
35,17.9,192,3725
41,20,203,4725
37.7,16,183,3075
37.8,20,190,4250
37.9,18.6,193,2925
39.7,18.9,184,3550
38.6,17.2,199,3750
38.2,20,190,3900
38.1,17,181,3175
43.2,19,197,4775
38.1,16.5,198,3825
45.6,20.3,191,4600
39.7,17.7,193,3200
42.2,19.5,197,4275
39.6,20.7,191,3900
42.7,18.3,196,4075
38.6,17,188,2900
37.3,20.5,199,3775
35.7,17,189,3350
41.1,18.6,189,3325
36.2,17.2,187,3150
37.7,19.8,198,3500
40.2,17,176,3450
41.4,18.5,202,3875
35.2,15.9,186,3050
40.6,19,199,4000
38.8,17.6,191,3275
41.5,18.3,195,4300
39,17.1,191,3050
44.1,18,210,4000
38.5,17.9,190,3325
43.1,19.2,197,3500
36.8,18.5,193,3500
37.5,18.5,199,4475
38.1,17.6,187,3425
41.1,17.5,190,3900
35.6,17.5,191,3175
40.2,20.1,200,3975
37,16.5,185,3400
39.7,17.9,193,4250
40.2,17.1,193,3400
40.6,17.2,187,3475
32.1,15.5,188,3050
40.7,17,190,3725
37.3,16.8,192,3000
39,18.7,185,3650
39.2,18.6,190,4250
36.6,18.4,184,3475
36,17.8,195,3450
37.8,18.1,193,3750
36,17.1,187,3700
41.5,18.5,201,4000
46.5,17.9,192,3500
50,19.5,196,3900
51.3,19.2,193,3650
45.4,18.7,188,3525
52.7,19.8,197,3725
45.2,17.8,198,3950
46.1,18.2,178,3250
51.3,18.2,197,3750
46,18.9,195,4150
51.3,19.9,198,3700
46.6,17.8,193,3800
51.7,20.3,194,3775
47,17.3,185,3700
52,18.1,201,4050
45.9,17.1,190,3575
50.5,19.6,201,4050
50.3,20,197,3300
58,17.8,181,3700
46.4,18.6,190,3450
49.2,18.2,195,4400
42.4,17.3,181,3600
48.5,17.5,191,3400
43.2,16.6,187,2900
50.6,19.4,193,3800
46.7,17.9,195,3300
52,19,197,4150
50.5,18.4,200,3400
49.5,19,200,3800
46.4,17.8,191,3700
52.8,20,205,4550
40.9,16.6,187,3200
54.2,20.8,201,4300
42.5,16.7,187,3350
51,18.8,203,4100
49.7,18.6,195,3600
47.5,16.8,199,3900
47.6,18.3,195,3850
52,20.7,210,4800
46.9,16.6,192,2700
53.5,19.9,205,4500
49,19.5,210,3950
46.2,17.5,187,3650
50.9,19.1,196,3550
