x,y,z,s
0.126160794,0.377774553,0.548664238,0.1
0.634927605,0.600914132,0.265834091,0.1
0.56294125,0.007316753,0.522503471,0.1
0.990729159,0.320615701,0.909629306,0.1
0.003678089,0.461760262,0.297932715,0.1
0.355407657,0.671771955,0.798640351,0.1
0.922571129,0.631977751,0.940110591,0.1
0.255470908,0.728903907,0.740800452,0.1
0.007559103,0.648478935,0.218400663,0.1
0.36020242,0.319102414,0.707836162,0.1
0.751592632,0.81591359,0.531259248,0.1
0.24151031,0.34477289,0.024837293,0.1
0.988727639,0.142498411,0.143838738,0.1
0.307467646,0.739915034,0.051908108,0.1
0.92889,0.749042425,0.735547684,0.1
0.403671417,0.737912914,0.64469104,0.1
0.733058003,0.39615272,0.634133706,0.1
0.181574392,0.609472911,0.471417572,0.1
0.716329995,0.042430254,0.608136758,0.1
0.75193661,0.169909331,0.701859152,0.1
0.103490793,0.13686966,0.490774017,0.1
0.295382631,0.166702389,0.982873234,0.1
0.60728691,0.256810202,0.182152131,0.1
0.832519031,0.953191431,0.804148034,0.1
0.722206305,0.409457394,0.525111256,0.1
0.679060294,0.971114459,0.97353447,0.1
0.830526821,0.066330557,0.620655501,0.1
0.893302736,0.583604704,0.719720368,0.1
0.33640253,0.602508103,0.76405762,0.1
0.627972645,0.491822277,0.495477275,0.1
0.239093512,0.196455905,0.386256983,0.1
0.229122672,0.212020549,0.764832565,0.1
0.176906489,0.067932667,0.482671967,0.1
0.718259013,0.125641319,0.222471094,0.1
0.11646757,0.353281408,0.159197349,0.1
0.477254892,0.513460648,0.307332403,0.1
0.871510832,0.86896001,0.982151589,0.1
0.490639901,0.695297835,0.720478243,0.1
0.604508809,0.44220538,0.02197794,0.1
0.556586762,0.203257239,0.15491145,0.1
0.879920698,0.60327279,0.839872231,0.1
0.08799803,0.651013068,0.904752123,0.1
0.67736108,0.56992727,0.598264585,0.1
0.075384403,0.002225903,0.837345013,0.1
0.672081047,0.352542695,0.39572267,0.1
0.624627347,0.745667324,0.89733819,0.1
0.577110057,0.414460067,0.468779032,0.1
0.016662146,0.699911667,0.81195351,0.1
0.399630567,0.2939403,0.525599071,0.1
0.665152495,0.074308952,0.988697474,0.1
0.042196376,0.300237679,0.298169637,0.1
0.725824258,0.816239193,0.926964354,0.1
0.103339554,0.622830904,0.016689269,0.1
0.915010888,0.960309086,0.722303509,0.1
0.882163634,0.846363564,0.552854584,0.1
0.463263854,0.453833609,0.788149779,0.1
0.261441813,0.207137614,0.27037568,0.1
0.443242844,0.192440209,0.142535278,0.1
0.38696226,0.147399958,0.445280558,0.1
0.148652539,0.734549645,0.398357702,0.1
0.86568476,0.433280474,0.169537093,0.1
0.419557433,0.648979473,0.066186321,0.1
0.87722548,0.707144443,0.681828917,0.1
0.740399959,0.750250482,0.193284598,0.1
0.905444911,0.367864657,0.885946201,0.1
0.543775348,0.844791586,0.259434625,0.1
0.341695514,0.08630804,0.754646964,0.1
0.285743416,0.802980592,0.473926684,0.1
0.902345382,0.013430031,0.91893818,0.1
0.932737538,0.391879976,0.79815988,0.1
0.277518943,0.776466718,0.059712151,0.1
0.769821142,0.988298697,0.767880046,0.1
0.871151251,0.590304248,0.348076207,0.1
0.067670809,0.42538509,0.078547375,0.1
0.673856903,0.360357537,0.217029533,0.1
0.428494094,0.675552303,0.173107347,0.1
0.556127638,0.365436213,0.996654211,0.1
0.103657574,0.508280853,0.301850701,0.1
0.355909801,0.289353305,0.270264733,0.1
0.540918479,0.010385596,0.894617884,0.1
0.752143391,0.228947436,0.213299606,0.1
0.14932893,0.424182055,0.560542592,0.1
0.532607889,0.738433962,0.46098504,0.1
0.507301912,0.400880858,0.378461947,0.1
0.088228218,0.852262938,0.848426994,0.1
0.689770374,0.153217574,0.539018065,0.1
0.99569174,0.663146242,0.877995333,0.1
0.813106821,0.807763926,0.335391963,0.1
0.421432047,0.563013087,0.91560062,0.1
0.70436595,0.036890773,0.832302838,0.1
